ASD Amici del Mare Sori
Primo Primi
Secondo Secondi
Terzo Terzi
Quarto Quarti
Quinto Quinti
Sesto Sesti
Settimo Settimi
Ottavo Ottavi
Nono Noni
Decimo Decimi
Undicesimo Undicesimi
Dodicesimo Dodicesimi
Tredicesimo Tredicesimi
LASCIARE VUOTA
LASCIARE VUOTA
ASD Prosecco Pallanuoto
Prima Primi
Seconda Secondi
Terza Terzi
Quarta Quarti
Quinta Quinti
Sesta Sesti
Settima Settimi
Ottava Ottavi
Nona Noni
Decima Decimi
Undicesima Undicesimi
Dodicesima Dodicesimi
Tredicesima Tredicesimi
LASCIARE VUOTA
LASCIARE VUOTA
